Row_ID,Order_ID,Order_Date,Ship_Date,Customer_Name,Segment,City,Category,Product_Name,Sales,Quantity,Discount,Profit
24,ORD00024,26-11-2025,27-11-2025,Sarah Washington,Home Office,Pune,Fashion,Physical Furniture,7766.61,2,0.43,2499.55
25,ORD00025,14-06-2025,17-06-2025,Terry Andrews,Home Office,Delhi,Grocery,Amount Electronics,6570.87,10,0.44,1711.93
26,ORD00026,03-03-2026,07-03-2026,Edward Gay,Corporate,Chennai,Electronics,Every Grocery,7160.2,5,0.16,693.23
27,ORD00027,25-12-2024,31-12-2024,Jose Lopez,Home Office,Delhi,Fashion,Tax Beauty,6611.9,1,0.4,315.14
28,ORD00028,06-04-2026,08-04-2026,Brianna Lopez,Home Office,Delhi,Beauty,Wonder Beauty,2450.34,5,0.4,-283.73
29,ORD00029,11-07-2025,12-07-2025,Sabrina Edwards,Consumer,Mumbai,Grocery,Office Grocery,1870.2,1,0.42,631.47
30,ORD00030,26-07-2025,28-07-2025,Richard Smith,Corporate,Bangalore,Grocery,Bring Furniture,2828.96,10,0.24,-89.44
31,ORD00031,03-10-2024,05-10-2024,William Stephens,Consumer,Pune,Furniture,Government Furniture,8621.88,2,0.37,845.36
32,ORD00032,09-03-2025,10-03-2025,Jamie Schwartz,Home Office,Hyderabad,Beauty,Adult Furniture,1990.27,5,0.25,146.65
33,ORD00033,12-11-2024,18-11-2024,Amber Navarro,Corporate,Hyderabad,Furniture,Build Furniture,9348.91,4,0.35,342.47
34,ORD00034,19-08-2024,25-08-2024,Nicole Ramos,Consumer,Delhi,Furniture,Drive Grocery,2217.54,10,0.15,223.14
35,ORD00035,21-05-2024,28-05-2024,Kenneth Franco,Corporate,Delhi,Grocery,Dream Furniture,538.33,4,0.44,184.02
36,ORD00036,19-04-2026,20-04-2026,Gary Williams,Consumer,Pune,Furniture,Material Furniture,8358.85,9,0.19,2440.17
37,ORD00037,27-10-2024,02-11-2024,Leslie Dean,Home Office,Mumbai,Electronics,Fight Fashion,2744.63,3,0.19,928.52
38,ORD00038,31-03-2026,07-04-2026,Theresa Johnson,Corporate,Chennai,Fashion,Another Furniture,5467.19,4,0.32,323.52
39,ORD00039,12-03-2025,18-03-2025,Jennifer Miller,Home Office,Bangalore,Electronics,Relate Furniture,1142.75,10,0.19,72.44
40,ORD00040,03-11-2024,05-11-2024,Rebecca Valenzuela DDS,Home Office,Bangalore,Grocery,Staff Beauty,4557.75,7,0.34,943.18
41,ORD00041,23-06-2025,25-06-2025,Allison Martinez,Corporate,Hyderabad,Fashion,Type Fashion,185.81,8,0.38,-33.64
42,ORD00042,28-09-2024,04-10-2024,Juan Clements,Consumer,Hyderabad,Electronics,Window Electronics,1136.6,2,0.15,223.74
43,ORD00043,14-02-2026,18-02-2026,John Gross,Consumer,Mumbai,Beauty,Into Furniture,1252.95,8,0.47,-60.78
44,ORD00044,05-09-2025,07-09-2025,Shannon Collier,Home Office,Hyderabad,Beauty,Public Furniture,3398.53,3,0.4,-540.82
45,ORD00045,27-12-2024,30-12-2024,Sheila Holmes,Home Office,Hyderabad,Furniture,Picture Beauty,1871.83,8,0.32,-140.27
46,ORD00046,17-11-2025,19-11-2025,Christina Burns,Corporate,Pune,Beauty,Practice Grocery,1309.47,9,0.26,-250.04
47,ORD00047,22-09-2025,27-09-2025,Anthony Sparks,Consumer,Mumbai,Fashion,Best Beauty,6393.22,7,0.37,390.92
48,ORD00048,26-10-2024,02-11-2024,Katrina Patel,Consumer,Chennai,Beauty,Ball Grocery,4197.93,3,0.37,404.21
49,ORD00049,07-07-2024,10-07-2024,Jodi Ryan,Consumer,Bangalore,Grocery,Break Beauty,4931.92,6,0.18,1528.6
50,ORD00050,30-09-2025,06-10-2025,Annette Bowers,Corporate,Pune,Fashion,Production Electronics,7058.99,4,0.31,-196.92
51,ORD00051,25-04-2026,28-04-2026,Paul Hamilton,Home Office,Chennai,Grocery,Best Electronics,3009.73,9,0.05,129.94
52,ORD00052,08-08-2024,15-08-2024,Whitney Acosta,Home Office,Bangalore,Fashion,Less Furniture,6839.86,2,0.2,2150.43
53,ORD00053,25-06-2024,28-06-2024,Laura Moreno,Consumer,Hyderabad,Fashion,Fine Beauty,1478.77,2,0.07,140.41
54,ORD00054,01-07-2025,04-07-2025,Autumn Sullivan,Corporate,Mumbai,Furniture,Billion Grocery,3994.03,7,0.28,843.81
55,ORD00055,24-01-2026,30-01-2026,Nancy Williamson,Home Office,Pune,Grocery,Prove Furniture,1517.69,8,0.2,173.04
56,ORD00056,16-07-2025,19-07-2025,Stephanie Lewis,Consumer,Chennai,Fashion,Sell Furniture,3386.68,2,0.28,580.79
57,ORD00057,03-05-2025,07-05-2025,Cory Mason,Corporate,Pune,Furniture,Fill Grocery,5247.35,7,0.41,1719.67
58,ORD00058,12-01-2025,15-01-2025,Amy Barnes,Corporate,Hyderabad,Fashion,Information Electronics,5987.84,1,0.09,-204.61
59,ORD00059,21-09-2024,27-09-2024,Xavier Bishop,Corporate,Pune,Beauty,Example Grocery,5084.77,9,0.17,-568.26
60,ORD00060,13-10-2024,15-10-2024,Michael Cobb,Consumer,Delhi,Beauty,Present Grocery,2923.52,8,0.11,928.96
61,ORD00061,28-06-2024,29-06-2024,Angela Lee,Home Office,Delhi,Furniture,Among Beauty,4911.7,8,0.32,1254.4
62,ORD00062,12-04-2026,16-04-2026,Heather Harris,Consumer,Pune,Beauty,Citizen Fashion,4209.55,9,0.12,-32.15
63,ORD00063,28-12-2025,01-01-2026,Andrew Price,Corporate,Mumbai,Beauty,Writer Grocery,4347.19,8,0.05,641.66
64,ORD00064,31-01-2025,01-02-2025,Eric Lawson,Consumer,Bangalore,Electronics,Visit Electronics,1455.48,5,0.09,-279.72
65,ORD00065,20-05-2025,21-05-2025,Charles Wilson,Home Office,Pune,Grocery,Music Beauty,6898.93,7,0.22,-273.56
66,ORD00066,07-09-2025,13-09-2025,Robert Reeves,Consumer,Hyderabad,Furniture,Future Beauty,4636.32,1,0.1,268.47
67,ORD00067,18-04-2025,21-04-2025,Michelle Garner,Home Office,Bangalore,Furniture,Reach Electronics,5473.31,9,0.16,1586.19
68,ORD00068,18-06-2025,21-06-2025,Elizabeth Morton,Home Office,Hyderabad,Furniture,Imagine Beauty,5087.75,9,0.32,524.64
69,ORD00069,05-04-2025,12-04-2025,John Page,Consumer,Delhi,Grocery,Should Furniture,3544.19,4,0.01,-220.04
70,ORD00070,27-08-2025,03-09-2025,Sydney Peterson,Home Office,Delhi,Electronics,Administration Beauty,7464.8,8,0.05,1924.05
71,ORD00071,20-04-2025,23-04-2025,Paul Warren,Home Office,Hyderabad,Beauty,Those Electronics,4369.93,5,0.26,1346.8
72,ORD00072,24-09-2025,30-09-2025,Danielle Patton,Corporate,Chennai,Electronics,Big Fashion,3635.2,7,0.24,573.79
73,ORD00073,30-09-2025,07-10-2025,Michelle Keith,Corporate,Pune,Electronics,Turn Grocery,152.22,2,0.31,-20.79
74,ORD00074,08-03-2025,15-03-2025,Tammy Jones,Consumer,Chennai,Beauty,While Beauty,4098.84,10,0.1,-683.41
75,ORD00075,19-01-2025,21-01-2025,Dennis Wade,Corporate,Pune,Fashion,Relate Grocery,1368.28,2,0.2,-28.48
76,ORD00076,24-06-2024,26-06-2024,Rachel Powell,Corporate,Delhi,Fashion,Art Furniture,1182.99,6,0.43,-4.76
77,ORD00077,03-10-2025,05-10-2025,Bethany Castaneda,Home Office,Delhi,Fashion,Century Furniture,4709.03,9,0.13,961.38
78,ORD00078,18-09-2025,20-09-2025,Hannah Harris,Home Office,Chennai,Electronics,Talk Grocery,9121.38,8,0.03,431.89
79,ORD00079,17-06-2025,18-06-2025,Michael Gomez,Home Office,Bangalore,Furniture,Mission Beauty,2726.09,5,0.45,8
80,ORD00080,05-09-2025,10-09-2025,Angela Ross,Home Office,Chennai,Furniture,Health Electronics,2414.86,9,0.03,-57.86
81,ORD00081,21-11-2024,22-11-2024,Brooke Owens,Home Office,Pune,Furniture,Tell Furniture,3223.75,2,0.06,-1.37
82,ORD00082,31-03-2026,04-04-2026,Susan Leach MD,Corporate,Pune,Fashion,Citizen Electronics,5827.2,5,0.19,312.68
83,ORD00083,27-05-2025,28-05-2025,Jonathan Reynolds,Home Office,Delhi,Furniture,Such Fashion,4157.18,7,0.05,-424.93
84,ORD00084,23-05-2024,29-05-2024,Jason Ross,Home Office,Bangalore,Grocery,Total Grocery,2039.91,8,0.37,-4.98
85,ORD00085,04-08-2025,07-08-2025,Lisa Vaughn,Consumer,Delhi,Beauty,Lot Grocery,9675.19,2,0.01,2556.67
86,ORD00086,10-04-2025,11-04-2025,Christopher Snyder,Corporate,Bangalore,Furniture,Herself Furniture,5025.1,2,0.15,-690.31
87,ORD00087,22-12-2024,23-12-2024,Timothy Romero,Corporate,Chennai,Grocery,Example Grocery,8862.67,2,0.37,564.69
88,ORD00088,28-01-2025,30-01-2025,Randall Barr,Home Office,Bangalore,Fashion,Total Grocery,1279.27,9,0.28,-248.14
89,ORD00089,28-03-2026,29-03-2026,Miguel Jones,Corporate,Pune,Furniture,Central Beauty,7115.02,9,0.4,241.76
90,ORD00090,20-01-2025,27-01-2025,Maria Harris,Consumer,Pune,Beauty,Huge Grocery,4612.44,2,0.1,-186.47
91,ORD00091,10-03-2025,11-03-2025,Erin Garza,Corporate,Delhi,Grocery,Argue Grocery,3560.49,9,0.45,-582.96
92,ORD00092,09-03-2026,16-03-2026,Katelyn Webb,Home Office,Pune,Furniture,Travel Beauty,2761.66,5,0.33,215.57
93,ORD00093,23-01-2025,30-01-2025,Douglas Little,Home Office,Bangalore,Electronics,Choice Furniture,5779.88,2,0.22,-278.38
94,ORD00094,23-11-2025,24-11-2025,David Romero,Home Office,Hyderabad,Furniture,Bar Fashion,1928.96,7,0.28,534
95,ORD00095,10-11-2024,14-11-2024,Alexander Moran,Consumer,Pune,Fashion,Six Grocery,4062.47,1,0.45,-27.26
96,ORD00096,23-06-2024,24-06-2024,Maria Wright,Consumer,Mumbai,Furniture,Record Beauty,613.66,10,0.36,132.93
97,ORD00097,06-09-2025,08-09-2025,Miguel Keller,Corporate,Chennai,Furniture,Increase Electronics,8073.05,9,0.45,1685.19
98,ORD00098,14-06-2024,18-06-2024,Christopher Moran,Corporate,Mumbai,Furniture,Forward Electronics,9642.68,1,0.22,2058.74
99,ORD00099,14-10-2024,16-10-2024,John Sanders,Consumer,Hyderabad,Grocery,Form Beauty,8090.08,8,0.49,2308.27
100,ORD00100,04-04-2025,06-04-2025,Patricia Hutchinson,Home Office,Pune,Electronics,Stay Furniture,7898.85,6,0.36,1552.85
101,ORD00101,16-11-2025,18-11-2025,Harry Dorsey,Home Office,Pune,Grocery,Strategy Beauty,1951.36,10,0.01,-70.03
102,ORD00102,30-01-2025,31-01-2025,Barry Costa,Corporate,Chennai,Beauty,Ten Furniture,259.13,10,0.23,12.58
103,ORD00103,13-11-2024,17-11-2024,Anna Rose,Consumer,Hyderabad,Electronics,Over Furniture,198.66,6,0.18,51.79
104,ORD00104,25-09-2025,26-09-2025,Timothy Gentry,Home Office,Pune,Fashion,Can Grocery,9465.81,8,0.28,309.76
105,ORD00105,17-04-2025,24-04-2025,Paula Martin,Consumer,Hyderabad,Fashion,Pattern Electronics,732.37,3,0.27,233.06
106,ORD00106,06-09-2024,08-09-2024,Wendy Thomas,Corporate,Mumbai,Electronics,Culture Grocery,3603.67,5,0,323.72
107,ORD00107,21-04-2026,24-04-2026,Benjamin Blair,Consumer,Pune,Fashion,Help Furniture,7381.05,3,0.44,-748.6
108,ORD00108,14-01-2025,18-01-2025,Erik Hernandez,Consumer,Bangalore,Electronics,Degree Grocery,4690.76,6,0.05,1451.29
109,ORD00109,04-08-2024,10-08-2024,Brandon Nelson,Home Office,Mumbai,Beauty,Dream Beauty,5197.52,3,0.05,691.58
110,ORD00110,13-02-2025,15-02-2025,Eric Spencer,Corporate,Mumbai,Fashion,Address Fashion,889.74,9,0.03,284.11
111,ORD00111,23-02-2026,26-02-2026,Jared Ramirez,Consumer,Mumbai,Furniture,Listen Fashion,853.44,4,0.04,189.7
112,ORD00112,02-01-2025,08-01-2025,Ashley Wright,Home Office,Mumbai,Fashion,Technology Grocery,9963.58,8,0.36,-395.35
113,ORD00113,13-12-2024,18-12-2024,Patrick Howard,Consumer,Bangalore,Furniture,Director Beauty,826.48,1,0,124.89
114,ORD00114,21-06-2025,26-06-2025,Amanda Wilson,Corporate,Hyderabad,Furniture,Deep Grocery,8668.71,1,0.21,122.64
115,ORD00115,13-10-2025,16-10-2025,Audrey Smith,Consumer,Hyderabad,Fashion,Matter Electronics,6729.81,10,0.21,-1016.84
116,ORD00116,31-10-2025,06-11-2025,Gabriel Friedman,Corporate,Bangalore,Beauty,Where Grocery,8839.64,4,0.09,595.83
117,ORD00117,11-10-2024,15-10-2024,Joseph Woods,Corporate,Chennai,Furniture,Suggest Beauty,7626.85,5,0.16,-1489.98
118,ORD00118,16-10-2025,22-10-2025,Judith Gregory,Home Office,Bangalore,Grocery,Nice Furniture,3303.8,10,0.21,1054.14
119,ORD00119,22-11-2025,25-11-2025,Andrea Wells DVM,Consumer,Bangalore,Electronics,Even Beauty,5209.71,1,0.49,1703.74
120,ORD00120,03-07-2025,05-07-2025,Jessica Palmer,Consumer,Bangalore,Beauty,Green Fashion,3745.2,10,0.25,-352.34
121,ORD00121,20-06-2024,26-06-2024,Brian Huynh,Corporate,Bangalore,Fashion,Account Electronics,7471.58,8,0.41,836.36
122,ORD00122,18-11-2024,19-11-2024,Angela Gonzalez,Home Office,Pune,Grocery,Push Grocery,4474.67,9,0.25,-562.2
123,ORD00123,25-11-2024,28-11-2024,Kenneth Braun,Home Office,Chennai,Electronics,Artist Electronics,8066.09,8,0.32,-1094.64
124,ORD00124,20-03-2026,22-03-2026,Timothy Gregory,Corporate,Chennai,Furniture,Industry Furniture,6233.97,9,0.09,416.38
125,ORD00125,06-07-2024,07-07-2024,Sheila Wong,Corporate,Chennai,Grocery,Win Furniture,9169.47,3,0.24,209.93
126,ORD00126,28-06-2024,01-07-2024,Kevin Gonzalez,Corporate,Pune,Furniture,Student Fashion,4366.43,10,0.35,1188.07
127,ORD00127,10-12-2024,13-12-2024,Eric Hall,Consumer,Bangalore,Electronics,Special Fashion,3143.51,6,0.45,774.85
128,ORD00128,08-02-2025,10-02-2025,Dawn Pope,Corporate,Mumbai,Grocery,You Fashion,2323.43,8,0.36,533.71
129,ORD00129,24-06-2024,25-06-2024,William Torres,Consumer,Bangalore,Fashion,While Furniture,3001.51,1,0.37,-67.83
130,ORD00130,08-11-2025,15-11-2025,John Kaiser,Corporate,Bangalore,Electronics,While Furniture,8138.11,9,0.24,-1139.4
131,ORD00131,31-12-2024,07-01-2025,Melanie Briggs,Home Office,Chennai,Beauty,Exist Furniture,6099.04,6,0.17,415.48
132,ORD00132,30-07-2025,04-08-2025,Charles Gonzalez,Home Office,Chennai,Grocery,Bank Electronics,2050.59,6,0.02,243.89
133,ORD00133,20-06-2025,27-06-2025,Lisa Martin,Home Office,Delhi,Grocery,Loss Grocery,6477.8,1,0.44,559.9
134,ORD00134,17-02-2026,19-02-2026,Jennifer Clark,Home Office,Pune,Grocery,Place Fashion,1590.45,2,0.36,-134.31
135,ORD00135,13-04-2025,19-04-2025,Nathaniel Fitzgerald,Corporate,Bangalore,Electronics,Require Beauty,2017.54,3,0.21,-340.45
136,ORD00136,07-04-2025,11-04-2025,Kristen Brown,Corporate,Delhi,Furniture,Ago Fashion,9812.89,3,0.29,1482.11
137,ORD00137,10-06-2025,11-06-2025,Kelly White,Corporate,Bangalore,Electronics,Notice Beauty,9725.65,10,0.05,-1690.88
138,ORD00138,29-03-2026,30-03-2026,Alexander Duncan,Corporate,Pune,Electronics,Situation Beauty,1921.77,9,0.31,586.23
139,ORD00139,16-07-2024,22-07-2024,Sean Moss,Corporate,Delhi,Fashion,Both Electronics,1675.06,5,0.09,-268.8
140,ORD00140,22-07-2025,29-07-2025,Jeffery Jones,Home Office,Hyderabad,Fashion,Interesting Grocery,5113.51,2,0.02,1739.93
141,ORD00141,27-02-2025,02-03-2025,Rebecca Tucker,Corporate,Mumbai,Fashion,Man Electronics,7759.49,1,0.05,1243.31
142,ORD00142,28-11-2025,02-12-2025,Evelyn Powell,Home Office,Chennai,Fashion,Ability Grocery,4740.6,5,0.37,244.01
143,ORD00143,08-05-2024,10-05-2024,Jennifer Hines,Corporate,Mumbai,Electronics,Water Electronics,656.8,6,0.05,-130.08
144,ORD00144,16-06-2025,17-06-2025,Michael Coleman,Consumer,Delhi,Grocery,Across Fashion,4806.49,6,0.12,-138.45
145,ORD00145,09-11-2024,11-11-2024,Gabrielle Davis,Consumer,Pune,Fashion,Between Grocery,6069.44,1,0.08,1407.67
146,ORD00146,23-10-2024,24-10-2024,Christian Berg,Corporate,Mumbai,Electronics,Stage Beauty,7158.2,5,0.29,-541.75
147,ORD00147,12-08-2024,17-08-2024,Mark Sharp,Consumer,Bangalore,Beauty,Ten Fashion,787.9,1,0.2,-131.21
148,ORD00148,12-05-2025,13-05-2025,Jonathan Spencer,Home Office,Mumbai,Electronics,Back Electronics,4895.53,5,0.23,1356.51
149,ORD00149,12-10-2025,13-10-2025,Christopher Bentley,Home Office,Hyderabad,Furniture,News Electronics,7065.14,9,0.32,2143.51
150,ORD00150,28-04-2025,04-05-2025,Brenda Valdez,Consumer,Chennai,Fashion,Will Furniture,1826.64,1,0.25,-147.15
151,ORD00151,11-05-2025,13-05-2025,Mr. James Larsen,Corporate,Delhi,Beauty,Quality Grocery,8487.85,10,0.49,-520.6
152,ORD00152,29-04-2026,30-04-2026,Ronald Wagner,Corporate,Hyderabad,Furniture,Expert Grocery,5770.81,3,0.34,1289.03
153,ORD00153,12-01-2026,16-01-2026,Brent Perez,Corporate,Delhi,Beauty,Hotel Beauty,3016.29,10,0.07,967.69
154,ORD00154,13-08-2024,18-08-2024,John Newton,Corporate,Hyderabad,Grocery,Form Electronics,1001.79,4,0.49,129.63
155,ORD00155,29-10-2025,31-10-2025,Jose Mann,Corporate,Hyderabad,Grocery,Manager Beauty,1763.16,2,0.12,308.79
156,ORD00156,13-12-2025,17-12-2025,Priscilla Miller,Consumer,Bangalore,Beauty,Show Furniture,9337.81,6,0.29,1695.03
157,ORD00157,21-07-2024,24-07-2024,Stacie Brown,Corporate,Mumbai,Furniture,Sit Fashion,2285.59,8,0.48,-98.54
158,ORD00158,17-02-2026,22-02-2026,Aaron Barry,Home Office,Mumbai,Beauty,Tough Furniture,9828.52,3,0.02,-1911.88
159,ORD00159,07-02-2025,10-02-2025,Daniel Brown,Home Office,Hyderabad,Furniture,Treat Fashion,2690.82,1,0.32,-423.72
160,ORD00160,18-02-2025,23-02-2025,Holly Salas,Consumer,Bangalore,Grocery,Easy Fashion,7564.15,4,0.2,-1452.86
161,ORD00161,26-01-2025,01-02-2025,Brandon Silva,Corporate,Mumbai,Beauty,Public Fashion,4371.67,1,0.13,783.31
162,ORD00162,07-06-2024,08-06-2024,Jennifer Bird,Corporate,Mumbai,Grocery,Stay Grocery,7230.17,7,0.38,-194.29
163,ORD00163,29-04-2025,06-05-2025,Michael May,Consumer,Chennai,Fashion,Maybe Furniture,9922.57,9,0.24,-1155.72
164,ORD00164,30-10-2024,04-11-2024,Lauren Snyder,Consumer,Chennai,Furniture,Green Electronics,8699.31,9,0.29,2668.48
165,ORD00165,28-04-2026,29-04-2026,Edward Oconnor,Home Office,Pune,Fashion,Only Electronics,3662.31,9,0.35,862.79
166,ORD00166,03-05-2026,04-05-2026,Michael Reynolds,Home Office,Pune,Grocery,Still Furniture,2672.09,1,0.2,801.61
167,ORD00167,01-01-2026,02-01-2026,Brian Mccoy,Consumer,Bangalore,Grocery,Resource Beauty,1724.35,2,0.42,-148.6
168,ORD00168,01-02-2025,03-02-2025,Brian Chavez,Home Office,Hyderabad,Grocery,Short Fashion,5385.83,7,0.11,403.37
169,ORD00169,24-10-2025,31-10-2025,Luis Gallagher,Consumer,Delhi,Beauty,Help Electronics,4304.42,10,0.48,-398.25
170,ORD00170,05-04-2026,08-04-2026,Tara Gaines,Home Office,Pune,Beauty,Involve Fashion,4531.07,5,0.22,318.8
171,ORD00171,12-08-2025,15-08-2025,Ann Moreno,Home Office,Chennai,Furniture,Number Grocery,2519.64,2,0.01,-136.21
172,ORD00172,24-06-2025,30-06-2025,Matthew Bernard,Consumer,Chennai,Furniture,Skill Fashion,829.12,3,0.27,220.03
173,ORD00173,30-11-2024,01-12-2024,Anthony Hoffman,Corporate,Bangalore,Beauty,But Electronics,8759.2,3,0.1,2549.5
174,ORD00174,16-02-2025,19-02-2025,Kathryn Dunn,Consumer,Pune,Electronics,Act Fashion,2027.4,3,0.02,687.92
175,ORD00175,30-08-2025,05-09-2025,Candice Lynch,Corporate,Mumbai,Furniture,Thousand Furniture,2008.67,6,0.21,-7.58
176,ORD00176,15-11-2025,20-11-2025,Michael Shelton,Consumer,Chennai,Beauty,Able Fashion,1222.88,5,0.23,328.1
177,ORD00177,11-04-2026,14-04-2026,Brett Bush,Consumer,Mumbai,Furniture,See Fashion,9087.44,8,0.3,-1467.55
178,ORD00178,28-11-2024,30-11-2024,Sarah Hill,Corporate,Chennai,Electronics,Rule Fashion,9542.36,8,0.24,-178.7
179,ORD00179,13-03-2026,18-03-2026,James Sanchez,Corporate,Chennai,Grocery,Career Electronics,8337.53,3,0.14,1921.34
180,ORD00180,30-08-2024,06-09-2024,Tammy Gross,Corporate,Bangalore,Furniture,Know Grocery,1160.08,4,0.09,359.43
181,ORD00181,27-06-2024,29-06-2024,Michael Adams,Home Office,Bangalore,Furniture,Cover Grocery,5772.44,10,0.13,-1003.97
182,ORD00182,01-04-2026,02-04-2026,Bonnie Taylor,Corporate,Pune,Grocery,Even Furniture,8472.54,1,0.49,508.78
183,ORD00183,20-07-2024,25-07-2024,Jamie Johnson,Home Office,Mumbai,Grocery,Get Grocery,8805.18,2,0.19,2819.15
184,ORD00184,14-09-2024,17-09-2024,William Thompson,Home Office,Pune,Electronics,Letter Furniture,4014.61,2,0.08,174.9
185,ORD00185,01-10-2024,03-10-2024,Michael Nguyen,Consumer,Bangalore,Furniture,Sure Grocery,4585.64,6,0.35,1028.4
186,ORD00186,07-10-2024,11-10-2024,Ronald Burns,Corporate,Mumbai,Fashion,Door Fashion,878.54,7,0.42,139.84
187,ORD00187,26-07-2025,31-07-2025,Jordan Huff,Consumer,Hyderabad,Furniture,See Grocery,5688.3,7,0.09,-457.66
188,ORD00188,28-07-2024,29-07-2024,Albert Burch,Consumer,Delhi,Furniture,Him Fashion,1667.49,9,0.37,289.37
189,ORD00189,05-01-2025,10-01-2025,Kyle Foley,Home Office,Delhi,Grocery,Might Furniture,8802.63,10,0.45,-152.95
190,ORD00190,20-10-2025,22-10-2025,Jack Garcia,Corporate,Mumbai,Electronics,Try Grocery,1143.08,1,0.47,349.17
191,ORD00191,01-09-2025,07-09-2025,Alicia Pruitt,Consumer,Mumbai,Beauty,Clear Beauty,7175.78,4,0.37,-1421.67
192,ORD00192,20-12-2024,25-12-2024,Peter Stone,Home Office,Mumbai,Grocery,Modern Beauty,2258.63,3,0.07,99.32
193,ORD00193,02-10-2025,07-10-2025,Emily Hernandez,Home Office,Chennai,Grocery,Car Electronics,5817.83,2,0.37,-317.4
194,ORD00194,23-01-2025,25-01-2025,Derrick Davis,Consumer,Chennai,Fashion,Imagine Fashion,7822.93,6,0.18,2463.45
195,ORD00195,03-06-2024,10-06-2024,Pamela Clark,Consumer,Chennai,Electronics,Early Grocery,1177.24,8,0.34,-96.95
196,ORD00196,09-02-2026,11-02-2026,Megan Jefferson,Corporate,Hyderabad,Electronics,Special Furniture,419.33,6,0.48,-9.74
197,ORD00197,09-04-2026,11-04-2026,Mark Bright,Corporate,Bangalore,Fashion,Year Fashion,5747.99,10,0.33,422.36
198,ORD00198,08-01-2025,09-01-2025,Zachary Arnold,Consumer,Hyderabad,Electronics,Daughter Fashion,8975.74,4,0.16,868.87
199,ORD00199,18-12-2024,22-12-2024,Angela Harris,Home Office,Delhi,Grocery,Operation Fashion,8344.86,3,0.21,-1520.74
200,ORD00200,20-08-2025,27-08-2025,Abigail Hernandez,Corporate,Hyderabad,Furniture,Majority Electronics,3790.1,10,0.14,-32.15
201,ORD00201,15-05-2025,16-05-2025,Janet Tyler,Corporate,Mumbai,Electronics,Candidate Electronics,4435.87,10,0.11,1203.89
